FID,WD24CD,WD24NM,WD24NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length,GlobalID
1814,E05010429,Sadberge & Middleton St George,,434094,517902,-1.47437,54.55523,56799124.5,53693.93908,125bcda5-2ecf-4434-87bd-a4365e3134ef
1815,E05010430,Stephenson,,430247,515139,-1.53413,54.53064,1779587.992,6265.139362,14c60ee2-3178-4ba5-a550-2c799ecfd8d2
1816,E05010431,Whinfield,,430928,517005,-1.52341,54.54737,1144755.933,5501.646651,22e89eba-3cb0-4418-924b-ba8e5098187c
1817,E05010458,Abbey,,458106,307312,-1.14234,52.66044,5943589.152,13518.23995,c2ae9494-d8d8-4233-a36a-8f82558c819a
1818,E05010459,Aylestone,,457450,301025,-1.15313,52.604,3809625.882,11069.629,57f6a9b4-1145-4e09-b3f1-e5254c8894f6
1819,E05010460,Beaumont Leys,,456831,308151,-1.16104,52.66811,9152607.899,17875.47057,a5ecb726-58e1-4c2b-a063-d57827bc6b25
1820,E05010461,Belgrave,,459778,305751,-1.1179,52.64623,2032589.651,7820.82278,5cae1366-28f4-46df-a0ae-88e0c448ea4b
1821,E05010462,Braunstone Park & Rowley Fields,,456615,302819,-1.16515,52.62021,4755388.273,10616.35644,52f59abc-3b35-4114-9648-b3b8acb1f998
1822,E05010463,Castle,,459276,303359,-1.12575,52.62478,3761730.671,10609.13064,5a38fd22-f660-4fe0-89f9-17eb35d1c345
1823,E05010464,Evington,,462834,303534,-1.07316,52.62595,5049222.912,10620.10771,c65b2b3b-71da-4e21-b7ea-038a326c9c33
1824,E05010465,Eyres Monsell,,457685,299371,-1.14994,52.5891,2319829.35,8577.282992,4180791f-4980-4f26-b1c1-faee26c00fdb
1825,E05010466,Fosse,,457542,305149,-1.15105,52.64106,1770897.983,6572.197119,18873b68-ea2b-4b2a-860c-daeebcf0e7a7
1826,E05010467,Humberstone & Hamilton,,463176,306626,-1.06752,52.65371,4171318.712,10422.34902,45692b1d-10c7-4c70-a169-19cba3bdaf0e
1827,E05010468,Knighton,,460159,301369,-1.11307,52.60679,4181073.248,10146.39313,2b281273-e01e-449f-ac9e-dac64de2f68c
1828,E05010469,North Evington,,460780,305050,-1.10322,52.63981,2206164.27,7527.80324,092c99ea-d985-462a-ae64-4f1cf03c8c7f
1829,E05010470,Rushey Mead,,460182,307442,-1.11162,52.66138,3704893.551,9329.324007,e938016d-ab23-465f-97d2-03342073f6b7
1830,E05010471,Saffron,,458477,302659,-1.13768,52.61857,2769975.104,10249.81166,e0673e70-f355-481d-9cff-dc397a24955d
1831,E05010472,Spinney Hills,,461205,303824,-1.09717,52.62875,1416165.73,6123.819122,1ce6e249-a12f-495a-82bd-6ce099923d3b
1832,E05010473,Stoneygate,,460506,303226,-1.10761,52.62345,1839805.637,7079.797637,ff4c4fc6-7d01-4b11-b6aa-15908e3a2abc
1833,E05010474,Thurncourt,,463501,304900,-1.06305,52.63815,2114517.467,7279.171965,611a8057-0616-4efe-8307-0f0f9b7e6ebf
